"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J11,J10,J9,J8,J7,J6,J5,J4,J3";"TestPoint_THTPad_1.0x1.0mm_Drill0.5mm";9;"Conn_01x01_Female";;;
2;"C8,C7";"C_0402_1005Metric";2;"1u";;;
3;"J2,J1";"SolderWirePad_1x01_SMD_1x2mm";2;"Conn_01x01_Female";;;
4;"U1";"DIP-18_W7.62mm_Socket";1;"ram_4044";;;
5;"U3";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
6;"U2";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
7;"C17,C16";"C_0805_2012Metric";2;"10u";;;
8;"C15,C14,C13,C12,C11,C10,C9,C6,C5";"C_0402_1005Metric";9;"100n";;;
9;"U7";"RP2040-QFN-56-no_holes";1;"RP2040";;;
10;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"ABLS-12.000MHZ-B4-T";;;
11;"R1";"C_0402_1005Metric";1;"1k";;;
12;"C3,C2";"C_0402_1005Metric";2;"27p";;;
