Ref,Val,Package,PosX,PosY,Rot,Side
"C5","100n","C_0402_1005Metric",102.235000,-123.063000,270.000000,top
"C7","1u","C_0402_1005Metric",100.203000,-123.063000,270.000000,top
"C8","1u","C_0402_1005Metric",99.187000,-123.063000,270.000000,top
"C9","100n","C_0402_1005Metric",97.282000,-117.729000,270.000000,top
"C10","100n","C_0402_1005Metric",97.028000,-120.523000,90.000000,top
"C11","100n","C_0402_1005Metric",101.219000,-123.063000,270.000000,top
"C13","100n","C_0402_1005Metric",97.028000,-122.682000,270.000000,top
"C14","100n","C_0402_1005Metric",106.934000,-121.666000,270.000000,top
"R2","10k","C_0402_1005Metric",106.934000,-123.571000,90.000000,top
"U3","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",101.727000,-89.916000,270.000000,top
"U7","RP2040","RP2040-QFN-56-no_holes",101.854000,-117.983000,180.000000,top
